DBN,PEER INDEX*,2009-2010 OVERALL GRADE,2009-2010 ENVIRONMENT GRADE,2009-2010 PERFORMANCE GRADE,2009-2010 PROGRESS GRADE
10X368,2.68,B1,A2,C3,B4
10X382,60.09,C1,B2,D3,B4
10X386,63.2,F1,B2,F3,F4
10X390,2.5,C1,B2,D3,C4
10X391,2.28,B1,B2,D3,B4
10X396,64.07,B1,A2,B3,B4
10X433,2.04,A1,B2,B3,A4
10X434,2.03,A1,C2,B3,A4
10X437,2.09,A1,A2,A3,A4
10X438,2.13,C1,D2,F3,C4
10X439,1.96,D1,B2,F3,F4
10X440,2.4,C1,C2,D3,D4
10X442,2.75,B1,C2,C3,B4
10X445,3.91,A1,C2,A3,B4
10X475,1.86,D1,C2,F3,D4
10X477,2.69,A1,A2,A3,A4
10X503,,B1,B2,C3,B4
10X504,,B1,B2,B3,D4
10X546,2.38,C1,A2,C3,F4
10X549,1.94,A1,A2,A3,A4
10X660,1.92,D1,C2,F3,C4
10X667,,D1,B2,F3,D4
10X696,3.79,A1,A2,A3,B4
11X016,55.24,C1,C2,D3,F4
11X019,23.81,C1,B2,D3,C4
11X021,58.16,C1,C2,D3,B4
11X041,60.95,A1,A2,B3,A4
11X068,61.07,B1,A2,C3,C4
11X076,53.9,A1,B2,C3,A4
11X078,57.29,C1,C2,F3,B4
11X083,43.21,C1,A2,C3,C4
11X087,54.41,C1,B2,D3,D4
11X089,53.36,C1,F2,D3,B4
11X096,51.26,B1,B2,B3,B4
11X097,47.6,B1,C2,D3,A4
11X103,58.18,B1,B2,D3,B4
11X105,53.81,B1,B2,C3,B4
11X106,47.67,B1,A2,C3,B4
11X108,34.85,C1,C2,D3,C4
11X111,59.77,C1,B2,F3,C4
11X112,60.95,A1,D2,C3,A4
11X121,50.34,B1,A2,C3,B4
11X127,2.74,B1,B2,D3,B4
11X142,2.54,C1,D2,D3,C4
11X144,2.59,C1,B2,D3,B4
11X153,47.99,B1,A2,C3,B4
11X160,52.11,C1,B2,D3,B4
11X175,21.08,C1,B2,C3,C4
11X178,52.06,C1,C2,D3,B4
11X180,2.72,B1,B2,C3,B4
11X181,2.76,B1,B2,B3,A4
11X189,58.85,F1,D2,F3,F4
11X194,51.42,B1,B2,C3,B4
11X249,2.58,A1,A2,A3,A4
11X253,2.26,C1,C2,C3,C4
11X265,2.49,B1,C2,A3,B4
11X270,2.33,C1,C2,B3,C4
11X270,2.73,C1,C2,F3,F4
11X272,2.66,D1,D2,F3,F4
11X275,2.35,A1,C2,A3,A4
11X287,2.45,B1,B2,D3,B4
11X288,2.81,A1,A2,B3,B4
11X289,2.62,C1,D2,D3,C4
11X290,2.11,A1,A2,B3,A4
11X299,2.17,B1,A2,A3,B4
11X322,2.8,C1,D2,D3,C4
11X326,2.64,C1,D2,D3,C4
11X370,2.55,C1,F2,D3,F4
11X415,1.62,D1,B2,F3,F4
11X417,,B1,A2,B3,B4
11X418,2.31,B1,B2,B3,C4
11X455,1.71,B1,B2,A3,B4
11X456,,A1,B2,A3,A4
11X513,2.19,A1,A2,A3,A4
11X514,1.93,B1,A2,A3,C4
11X541,2,C1,B2,D3,C4
11X542,2.63,A1,B2,A3,B4
11X544,1.99,A1,A2,A3,A4
11X545,2.03,A1,C2,A3,A4
12X006,64.66,C1,F2,D3,C4
12X044,66.75,B1,B2,D3,A4
